,S537_AD1,S538_AD2,S539_AD3,S540_AD4,S541_AD5,S542_AD6,S958_AD1,S959_AD2,S960_AD3,S961_AD4,S962_AD5,S963_AD6,S1189_AD1,S1190_AD2,S1191_AD3,S1192_AD4,S1193_AD5,S1194_AD6,S1365_AD1,S1366_AD2,S1367_AD3,S1368_AD4,S1369_AD5,S1370_AD6
,#048,#049,#050,#051,#052,#053,#086,#087,#088,#089,#090,#091,#095,#096,#097,#098,#099,#100,#103,#104,#105,#106,#107,#108
2390.856,0.02772713,0.03361495,0.02712501,0.03425642,0.02181484,0.02578372,0.0309993,0.02608461,0.02803557,0.0365617,0.03661248,0.03388537,0.02261929,0.03063107,0.0291218,0.02985918,0.0330161,0.02991616,0.03003193,0.03127616,0.03328066,0.03291132,0.02924158,0.03285627
2391.338,0.02772809,0.03361015,0.02713963,0.03425718,0.02180571,0.02576736,0.03098932,0.02610753,0.02804727,0.03658279,0.03661889,0.03388872,0.02264096,0.03065867,0.02914797,0.02983718,0.03300611,0.02989412,0.03005161,0.03129109,0.03331349,0.03293279,0.02924422,0.03285876
2391.82,0.02773264,0.03360841,0.02715522,0.03426392,0.02179758,0.02575534,0.03097942,0.0261348,0.02805826,0.03661171,0.03663287,0.03389785,0.02266133,0.03069376,0.02917955,0.02982268,0.03300178,0.02987752,0.03007994,0.0313195,0.0333551,0.03295653,0.02925315,0.03286933
2392.302,0.02774288,0.03360662,0.02716815,0.03427315,0.02179396,0.02575103,0.03097324,0.0261644,0.02806746,0.03664644,0.03665381,0.03391413,0.02267803,0.03073024,0.02921278,0.02981775,0.0330059,0.02986988,0.03011263,0.03135726,0.03339929,0.03298014,0.02926737,0.03288404
2392.784,0.02776227,0.03360802,0.02717685,0.03428645,0.02179739,0.02575709,0.03097594,0.026195,0.0280761,0.03668865,0.03668508,0.03394057,0.02269119,0.03076715,0.02924605,0.02982476,0.03302068,0.02987574,0.03014743,0.03140335,0.03344375,0.03300263,0.02928745,0.03290384
2393.266,0.02778828,0.03360795,0.02717871,0.03429817,0.02180672,0.02577118,0.03098679,0.02622241,0.02808138,0.03673021,0.0367201,0.03397311,0.02270029,0.03079837,0.0292756,0.02983925,0.03304267,0.0298917,0.03017832,0.03145066,0.0334814,0.03302004,0.0293085,0.03292158
2393.749,0.02782047,0.03361109,0.027176,0.03431128,0.02182125,0.02579271,0.03100689,0.02624678,0.02808461,0.03677063,0.03675859,0.03401174,0.02270754,0.0308251,0.02930154,0.02986006,0.03307088,0.02991738,0.03020526,0.03149848,0.03351311,0.03303354,0.02933056,0.03293961
2394.23,0.02785463,0.03361594,0.02717139,0.03432396,0.02183841,0.02581836,0.03103267,0.02626642,0.02808441,0.03680523,0.03679447,0.03405289,0.0227143,0.03084518,0.02932321,0.02988243,0.03310162,0.02994703,0.03022608,0.03154207,0.03353646,0.03304374,0.02935174,0.03295615
2394.713,0.02789043,0.0336308,0.0271714,0.03434363,0.02185757,0.02584822,0.03106413,0.02628394,0.02808433,0.03683918,0.03682995,0.03409811,0.02272335,0.03086357,0.02934307,0.02990828,0.03313636,0.02998131,0.03024426,0.03158332,0.03355632,0.03305639,0.02937557,0.03297851
2395.195,0.02792474,0.03365485,0.02717972,0.03436995,0.02187664,0.02587919,0.03109619,0.02629942,0.02808503,0.03687202,0.03686162,0.03414445,0.0227341,0.03087993,0.02936086,0.02993644,0.03317271,0.03001634,0.03026007,0.03161913,0.03357267,0.03307406,0.02940199,0.03300674
2395.677,0.02795811,0.03369299,0.02719975,0.0344075,0.02189506,0.02590985,0.0311276,0.0263141,0.02808987,0.03691023,0.03689314,0.03419226,0.02274613,0.03089829,0.02937824,0.02997102,0.03321176,0.0300533,0.03027634,0.03165107,0.0335892,0.03310096,0.02943373,0.03304572
2396.159,0.02798778,0.03373736,0.02722856,0.03445007,0.02191053,0.02593481,0.03115284,0.02632555,0.02809747,0.03695029,0.03692062,0.03423569,0.0227553,0.03091516,0.02939183,0.03000994,0.03324856,0.03008686,0.03029105,0.03167484,0.03360295,0.03313528,0.02946812,0.03309001
2396.641,0.0280143,0.03378654,0.02726349,0.03449597,0.02192285,0.0259515,0.03117108,0.02633357,0.02810904,0.0369931,0.0369461,0.03427199,0.02276003,0.03093217,0.02940154,0.03005423,0.03328145,0.03011655,0.03030443,0.03169109,0.03361479,0.0331746,0.02950387,0.03313751
2397.123,0.02803575,0.03382855,0.02729668,0.03453472,0.02193165,0.0259563,0.03117985,0.02633618,0.02812094,0.0370317,0.0369651,0.03429508,0.02275891,0.03094552,0.02940547,0.03009754,0.03330484,0.03013662,0.03031315,0.03169644,0.03362082,0.03321242,0.02953537,0.03317856
2397.605,0.02805424,0.03386243,0.0273242,0.03456518,0.02194004,0.02595218,0.03118346,0.02633663,0.02813366,0.03706679,0.03698127,0.0343058,0.02275508,0.03095875,0.0294066,0.03013788,0.03331958,0.03014821,0.03031891,0.0316954,0.03362442,0.03324505,0.02956163,0.03321208
2398.088,0.02806959,0.03388184,0.02734203,0.03458186,0.0219508,0.02594269,0.03118495,0.02633725,0.02814493,0.03709446,0.036993,0.03430405,0.0227531,0.03097212,0.02940812,0.03016926,0.03332573,0.03015038,0.03032086,0.03168867,0.03362563,0.03326796,0.02957943,0.03323333
2398.57,0.02808599,0.03389265,0.02735136,0.03459005,0.0219696,0.02593796,0.03119331,0.02634447,0.02815737,0.03711958,0.03700599,0.03429698,0.0227602,0.03099268,0.02941725,0.03019216,0.03332959,0.03014953,0.03032303,0.03168382,0.03363126,0.03328235,0.02959179,0.03324797
2399.052,0.02810355,0.03389421,0.02735324,0.03458979,0.02199785,0.0259437,0.03121166,0.02635999,0.02817021,0.03714121,0.03701858,0.03428782,0.02278025,0.03102124,0.0294374,0.0302043,0.03333398,0.03014786,0.03032539,0.03168138,0.03364209,0.03328759,0.0295981,0.03325586
2399.534,0.02812423,0.03389472,0.02735233,0.03458848,0.02203643,0.02596619,0.03124442,0.02638547,0.02818575,0.03716395,0.03703383,0.0342825,0.02281536,0.03106209,0.02947174,0.03021088,0.03334486,0.03015289,0.03033044,0.03168521,0.03366255,0.03328824,0.02960219,0.03326432
