"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2cf7c26a8d37fd76126fc6b413794203","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"6f5eb5553d541fd1d51570c029330cc6","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_113392"
"1f2d2e7102594b4bde51b6d91b6f792f","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"304a4b6ad767890366a516fe69bbf787","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_101172"
"f5d28ced4656e4f799f9d65c48b20900","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_101172"
"6c8a42401052979abdf8570eeda3644c","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"e480cd8ce917145b10a01c469bed1e71","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"216c5c76440ba457908ce964cf6fd749","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_562","midas_s_7347"
"148713fb654c55394ecfc69730235787","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_3413"
"47e39d7f5ac33975eec4633a096c06d4","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_1513"
"5ce7a9ff80a204ba3c57ed88ae0c016b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA
"882f0af9f4548737a2fa4a115cdc4161","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_2216"
"78385069535fcce83c796a14ee44ca78","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_21554"
"380af1e97007e0012147e25b424cb7ec","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","midas_s_66014"
"71f828c7e32e02d9e8a8542f9f6f0f06","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_24191"
"b578ec71ed1a9b868f9bfaff40d291fd","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_52314"
"b983821d56f005a79a31e18b583f8859","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA
"3f276f3a918857d62667f205c194c980","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_21005"
"af88e6d9ca9d48436df209a1071679cb","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_35640"
"a7f1805801d3dcd59760d3cff9f613a8","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_15087"
"3f1870cca08e62c3c2d238e02ba1c875","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_96083"
"e9bb5e6d403fe7a8a1bcee1398afc78b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_99887","midas_s_99887"
"4fbec27e47e399594d2e7a75618c63d9","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_22002",NA
"348d9f068003c2a01afbc469fd63d1f2","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_5167","midas_s_11753"
"4dae0d9b1748359f0ee8ae101750ff22","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_5167","midas_s_31032"
"608ed534fd687c0207381a7a3b99a574","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_33802","midas_s_84981"
"45314d741de5e30c2512bf28c6194512","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_5167","midas_s_40709"
"a2bec64a396ca9e5424f23a4d560b027","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_5167","midas_s_40709"
